# Data3
# zs, mu, muerr
0.324511, 21.0059, 0.1013
0.327130, 20.9817, 0.0663
0.338269, 21.0289, 0.1024
0.343116, 21.1287, 0.0890
0.349208, 21.1147, 0.0608
0.354031, 21.3879, 0.1023
0.354219, 21.2810, 0.0590
0.354738, 21.2051, 0.0848
0.357565, 21.1129, 0.0885
0.359664, 21.3130, 0.0834
0.360471, 21.2755, 0.0784
0.360962, 21.1699, 0.0914
0.361792, 21.3968, 0.1043
0.365050, 21.2572, 0.0644
0.370268, 21.3104, 0.1010
0.371633, 21.4245, 0.0560
0.372597, 21.2856, 0.0721
0.375127, 21.4107, 0.0892
0.379977, 21.4397, 0.0744
0.381130, 21.4746, 0.0679
0.385424, 21.5540, 0.0850
0.392025, 21.3965, 0.0900
0.409076, 21.7011, 0.0798
0.415111, 21.7970, 0.0914
0.418008, 21.6198, 0.0735
0.427055, 21.7330, 0.0765
0.427463, 21.7611, 0.0825
0.433062, 21.8695, 0.0791
0.439181, 21.6731, 0.0882
0.444365, 21.8190, 0.0837
0.445041, 21.8441, 0.0609
0.451543, 21.7678, 0.0773
0.452504, 21.8736, 0.0680
0.454001, 21.8184, 0.0710
0.454396, 21.9480, 0.0662
0.457063, 21.8133, 0.1049
0.460560, 21.7700, 0.0760
0.470555, 21.9565, 0.0821
0.471788, 21.8994, 0.0665
0.474408, 22.0590, 0.0649
0.477357, 21.8464, 0.0947
0.478540, 22.0758, 0.0638
0.480260, 21.9832, 0.0606
0.480967, 22.0244, 0.0996
0.489092, 21.8466, 0.0858
0.492508, 22.1900, 0.0798
0.495064, 22.0558, 0.0815
0.497840, 22.1340, 0.0948
0.500417, 22.1770, 0.0977
0.500619, 22.0174, 0.1007
0.508437, 22.0911, 0.0928
0.515605, 22.0276, 0.0884
0.535397, 22.4372, 0.0865
0.547133, 22.3106, 0.0862
0.547611, 22.4495, 0.0896
0.559497, 22.3714, 0.0829
0.565455, 22.4691, 0.0968
0.572462, 22.4347, 0.0620
0.585285, 22.5763, 0.0713
0.587096, 22.6392, 0.0666
0.587931, 22.5047, 0.0993
0.589424, 22.6885, 0.1005
0.597120, 22.6211, 0.0691
0.603088, 22.7134, 0.0618
0.603629, 22.6196, 0.0794
0.615574, 22.6241, 0.0882
0.620673, 22.6837, 0.0787
0.625367, 22.6714, 0.1027
0.638787, 22.7497, 0.0645
0.639893, 22.6048, 0.0996
0.640756, 22.8089, 0.1014
0.640893, 22.6853, 0.0837
0.641616, 22.8219, 0.0604
0.646274, 22.7302, 0.0796
0.648969, 22.7027, 0.0800
0.651049, 22.8420, 0.0914
0.652539, 22.7430, 0.0825
0.653723, 22.7537, 0.0671
0.659528, 22.7849, 0.0925
0.681734, 22.7406, 0.0997
0.698873, 22.9867, 0.0593
0.699386, 22.7968, 0.0942
0.705278, 22.9603, 0.0746
0.711267, 22.9703, 0.0850
0.711310, 23.0187, 0.0843
0.726441, 23.1011, 0.0734
0.728121, 22.9613, 0.0767
0.731292, 22.9686, 0.0724
0.733219, 23.0479, 0.0618
0.740934, 23.0237, 0.0572
0.743412, 23.0810, 0.0754
0.750498, 23.2312, 0.0853
0.752139, 23.1579, 0.0811
0.754526, 23.1092, 0.0845
0.758624, 23.1017, 0.0863
0.759161, 23.1192, 0.0755
0.760677, 23.2249, 0.0595
0.771651, 23.3968, 0.0983
0.772990, 23.2924, 0.0640
0.780864, 23.0859, 0.0898
0.782808, 23.2845, 0.1005
0.787174, 23.2644, 0.0698
0.795702, 23.3368, 0.0953
0.800230, 23.2300, 0.0723
0.814977, 23.2364, 0.0802
0.817597, 23.3268, 0.0794
0.824385, 23.3928, 0.1018
0.825697, 23.3265, 0.0775
0.836528, 23.3656, 0.1045
0.843006, 23.4974, 0.0978
0.843691, 23.4457, 0.0640
0.873910, 23.5250, 0.1019
0.874051, 23.5237, 0.0862
0.878353, 23.6665, 0.0992
0.885081, 23.4512, 0.0652
0.892477, 23.5196, 0.0735
0.894565, 23.5943, 0.0581
0.899033, 23.6281, 0.0787
0.905797, 23.5496, 0.0848
0.905877, 23.6678, 0.0761
0.906200, 23.7223, 0.0647
0.916660, 23.5420, 0.0876
0.917878, 23.7218, 0.0615
0.923247, 23.8192, 0.0983
0.927645, 23.6455, 0.0900
0.940926, 23.6967, 0.0808
0.951694, 23.8560, 0.0957
0.955327, 23.8714, 0.0988
0.972593, 23.9397, 0.0847
0.978425, 23.9049, 0.0695
0.987750, 24.0496, 0.0779
0.995046, 23.9127, 0.0554
0.999961, 23.8647, 0.0823
