# Data4
# zs, mu, muerr
0.311739, 20.7382, 0.1039
0.313673, 20.8599, 0.0766
0.315154, 20.8443, 0.0552
0.315612, 20.7818, 0.0673
0.324511, 20.8618, 0.1013
0.327130, 20.8367, 0.0663
0.338269, 20.8799, 0.1024
0.343116, 20.9780, 0.0890
0.349208, 20.9618, 0.0608
0.354031, 21.2333, 0.1023
0.354219, 21.1264, 0.0590
0.354738, 21.0503, 0.0848
0.357565, 20.9571, 0.0885
0.359664, 21.1564, 0.0834
0.360471, 21.1186, 0.0784
0.360962, 21.0129, 0.0914
0.361792, 21.2395, 0.1043
0.365050, 21.0987, 0.0644
0.370268, 21.1501, 0.1010
0.371633, 21.2637, 0.0560
0.372597, 21.1246, 0.0721
0.375127, 21.2487, 0.0892
0.379977, 21.2761, 0.0744
0.381130, 21.3106, 0.0679
0.385424, 21.3885, 0.0850
0.392025, 21.2288, 0.0900
0.409076, 21.5277, 0.0798
0.415111, 21.6215, 0.0914
0.418008, 21.4434, 0.0735
0.427055, 21.5536, 0.0765
0.427463, 21.5816, 0.0825
0.433062, 21.6881, 0.0791
0.439181, 21.4898, 0.0882
0.444365, 21.6340, 0.0837
0.445041, 21.6588, 0.0609
0.451543, 21.5805, 0.0773
0.452504, 21.6860, 0.0680
0.454001, 21.6303, 0.0710
0.454396, 21.7597, 0.0662
0.457063, 21.6242, 0.1049
0.460560, 21.5798, 0.0760
0.470555, 21.7632, 0.0821
0.471788, 21.7056, 0.0665
0.474408, 21.8644, 0.0649
0.477357, 21.6510, 0.0947
0.478540, 21.8800, 0.0638
0.480260, 21.7868, 0.0606
0.480967, 21.8278, 0.0996
0.489092, 21.6474, 0.0858
0.492508, 21.9899, 0.0798
0.495064, 21.8549, 0.0815
0.497840, 21.9322, 0.0948
0.500417, 21.9744, 0.0977
0.500619, 21.8147, 0.1007
0.508437, 21.8860, 0.0928
0.515605, 21.8204, 0.0884
0.535397, 22.2241, 0.0865
0.547133, 22.0940, 0.0862
0.547611, 22.2328, 0.0896
0.559497, 22.1512, 0.0829
0.565455, 22.2472, 0.0968
0.572462, 22.2108, 0.0620
0.585285, 22.3487, 0.0713
0.587096, 22.4111, 0.0666
0.587931, 22.2764, 0.0993
0.589424, 22.4598, 0.1005
0.597120, 22.3901, 0.0691
0.603088, 22.4808, 0.0618
0.603629, 22.3869, 0.0794
0.615574, 22.3880, 0.0882
0.620673, 22.4463, 0.0787
0.625367, 22.4327, 0.1027
0.638787, 22.5073, 0.0645
0.639893, 22.3621, 0.0996
0.640756, 22.5659, 0.1014
0.640893, 22.4423, 0.0837
0.641616, 22.5787, 0.0604
0.646274, 22.4858, 0.0796
0.648969, 22.4575, 0.0800
0.651049, 22.5963, 0.0914
0.652539, 22.4968, 0.0825
0.653723, 22.5073, 0.0671
0.659528, 22.5369, 0.0925
0.681734, 22.4868, 0.0997
0.698873, 22.7284, 0.0593
0.699386, 22.5383, 0.0942
0.705278, 22.7003, 0.0746
0.711267, 22.7088, 0.0850
0.711310, 22.7572, 0.0843
0.726441, 22.8357, 0.0734
0.728121, 22.6955, 0.0767
0.731292, 22.7020, 0.0724
0.733219, 22.7809, 0.0618
0.740934, 22.7548, 0.0572
0.743412, 22.8114, 0.0754
0.750498, 22.9599, 0.0853
0.752139, 22.8862, 0.0811
0.754526, 22.8369, 0.0845
0.758624, 22.8284, 0.0863
0.759161, 22.8457, 0.0755
0.760677, 22.9511, 0.0595
0.771651, 23.1202, 0.0983
0.772990, 23.0155, 0.0640
0.780864, 22.8071, 0.0898
0.782808, 23.0053, 0.1005
0.787174, 22.9841, 0.0698
0.795702, 23.0545, 0.0953
0.800230, 22.9466, 0.0723
0.814977, 22.9495, 0.0802
0.817597, 23.0393, 0.0794
0.824385, 23.1037, 0.1018
0.825697, 23.0371, 0.0775
0.836528, 23.0736, 0.1045
0.843006, 23.2040, 0.0978
0.843691, 23.1521, 0.0640
0.873910, 23.2246, 0.1019
0.874051, 23.2232, 0.0862
0.878353, 23.3650, 0.0992
0.885081, 23.1483, 0.0652
0.892477, 23.2150, 0.0735
0.894565, 23.2892, 0.0581
0.899033, 23.3220, 0.0787
0.905797, 23.2421, 0.0848
0.905877, 23.3602, 0.0761
0.906200, 23.4147, 0.0647
0.916660, 23.2321, 0.0876
0.917878, 23.4117, 0.0615
0.923247, 23.5079, 0.0983
0.927645, 23.3333, 0.0900
0.940926, 23.3816, 0.0808
0.951694, 23.5386, 0.0957
0.955327, 23.5532, 0.0988
0.972593, 23.6179, 0.0847
0.978425, 23.5819, 0.0695
0.987750, 23.7247, 0.0779
0.995046, 23.5862, 0.0554
0.999961, 23.5372, 0.0823
