# Data2
# zs, mu, muerr
0.535397, 22.2276, 0.0865
0.547133, 22.0980, 0.0862
0.547611, 22.2368, 0.0896
0.559497, 22.1556, 0.0829
0.565455, 22.2519, 0.0968
0.572462, 22.2157, 0.0620
0.585285, 22.3541, 0.0713
0.587096, 22.4166, 0.0666
0.587931, 22.2819, 0.0993
0.589424, 22.4653, 0.1005
0.597120, 22.3960, 0.0691
0.603088, 22.4869, 0.0618
0.603629, 22.3930, 0.0794
0.615574, 22.3946, 0.0882
0.620673, 22.4531, 0.0787
0.625367, 22.4397, 0.1027
0.638787, 22.5149, 0.0645
0.639893, 22.3697, 0.0996
0.640756, 22.5736, 0.1014
0.640893, 22.4500, 0.0837
0.641616, 22.5864, 0.0604
0.646274, 22.4937, 0.0796
0.648969, 22.4655, 0.0800
0.651049, 22.6044, 0.0914
0.652539, 22.5050, 0.0825
0.653723, 22.5155, 0.0671
0.659528, 22.5453, 0.0925
0.681734, 22.4962, 0.0997
0.698873, 22.7386, 0.0593
0.699386, 22.5486, 0.0942
0.705278, 22.7109, 0.0746
0.711267, 22.7196, 0.0850
0.711310, 22.7681, 0.0843
0.726441, 22.8473, 0.0734
0.728121, 22.7071, 0.0767
0.731292, 22.7138, 0.0724
0.733219, 22.7927, 0.0618
0.740934, 22.7670, 0.0572
0.743412, 22.8238, 0.0754
0.750498, 22.9726, 0.0853
0.752139, 22.8990, 0.0811
0.754526, 22.8498, 0.0845
0.758624, 22.8415, 0.0863
0.759161, 22.8589, 0.0755
0.760677, 22.9643, 0.0595
0.771651, 23.1340, 0.0983
0.772990, 23.0294, 0.0640
0.780864, 22.8213, 0.0898
0.782808, 23.0196, 0.1005
0.787174, 22.9986, 0.0698
0.795702, 23.0695, 0.0953
0.800230, 22.9618, 0.0723
0.814977, 22.9655, 0.0802
0.817597, 23.0555, 0.0794
0.824385, 23.1202, 0.1018
0.825697, 23.0537, 0.0775
0.836528, 23.0908, 0.1045
0.843006, 23.2215, 0.0978
0.843691, 23.1696, 0.0640
0.873910, 23.2437, 0.1019
0.874051, 23.2424, 0.0862
0.878353, 23.3844, 0.0992
0.885081, 23.1681, 0.0652
0.892477, 23.2351, 0.0735
0.894565, 23.3095, 0.0581
0.899033, 23.3426, 0.0787
0.905797, 23.2630, 0.0848
0.905877, 23.3811, 0.0761
0.906200, 23.4356, 0.0647
0.916660, 23.2536, 0.0876
0.917878, 23.4333, 0.0615
0.923247, 23.5298, 0.0983
0.927645, 23.3554, 0.0900
0.940926, 23.4045, 0.0808
0.951694, 23.5621, 0.0957
0.955327, 23.5769, 0.0988
0.972593, 23.6426, 0.0847
0.978425, 23.6069, 0.0695
0.987750, 23.7502, 0.0779
0.995046, 23.6122, 0.0554
0.999961, 23.5635, 0.0823
